frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
52,0,1.020,0.88,1,1.35,2.40,2.02,1.05,-0.36,-0.90,0.29,0.69,-0.01,0.30,0.43,2.15,0.69,0.47,-0.00,-0.35,-0.03,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
53,0,1.040,0.88,1,1.24,2.27,2.16,0.97,-0.35,-0.71,0.43,0.79,-0.05,0.60,0.39,1.78,0.83,0.51,-0.11,-0.03,0.02,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
54,0,1.060,0.88,1,1.29,2.11,2.04,0.61,-0.38,-1.14,0.54,0.62,-0.09,0.36,0.31,1.77,0.82,0.45,-0.09,-0.11,0.33,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
55,0,1.080,0.88,1,1.38,2.25,2.15,0.81,-0.44,-1.08,0.49,0.64,-0.09,0.25,0.27,1.79,0.72,0.53,-0.06,0.14,0.39,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
56,0,1.100,0.88,1,1.29,1.66,1.87,0.62,-0.53,-0.96,0.56,0.66,-0.09,0.34,0.52,1.68,0.63,0.40,0.00,0.01,0.34,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
57,0,1.120,0.88,1,1.38,1.89,2.08,0.48,-0.46,-0.69,0.46,0.64,-0.18,0.26,0.47,1.73,0.79,0.45,0.07,0.29,0.76,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
58,0,1.140,0.88,1,1.39,2.12,1.98,1.19,-0.49,-1.05,0.50,0.49,-0.22,0.38,0.50,1.75,0.68,0.45,0.24,0.14,0.60,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
59,0,1.160,0.88,1,1.51,1.85,2.38,0.96,-0.62,-1.06,0.47,0.59,-0.21,0.27,0.50,1.68,0.73,0.50,0.39,0.34,0.45,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
60,0,1.180,0.88,1,1.25,2.00,2.39,0.93,-0.51,-0.69,0.42,0.57,-0.14,0.38,0.50,1.69,0.60,0.51,0.36,0.29,0.37,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
61,0,1.200,0.88,1,1.79,2.72,2.86,1.20,-0.38,-0.96,0.26,0.50,-0.04,0.48,0.62,1.44,0.66,0.33,0.27,0.55,-0.22,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,0,1.220,0.88,1,1.91,2.59,2.88,0.97,-0.19,-0.76,0.34,0.64,0.01,0.63,0.55,1.40,0.78,0.28,0.36,0.63,-0.30,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
63,0,1.240,0.88,1,1.79,2.52,2.82,0.89,-0.20,-0.71,0.55,0.64,-0.13,0.58,0.57,1.38,0.47,0.25,0.54,0.64,-0.14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
64,0,1.260,0.88,1,1.78,2.45,2.83,1.18,-0.21,-0.88,0.53,0.62,-0.15,0.58,0.53,1.32,0.45,0.23,0.56,0.78,-0.17,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
65,0,1.280,0.88,1,1.73,2.37,2.64,0.85,-0.26,-0.88,0.38,0.59,-0.15,0.59,0.58,1.15,0.56,0.30,0.67,0.65,-0.11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
66,0,1.300,0.88,1,1.65,2.31,2.82,1.02,-0.36,-0.61,0.29,0.56,-0.09,0.62,0.63,1.07,0.37,0.32,0.73,0.51,-0.24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67,0,1.320,0.88,1,1.63,1.88,2.71,1.41,-0.29,-0.82,0.34,0.64,-0.16,0.69,0.52,1.09,0.40,0.37,0.63,0.52,-0.16,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
68,0,1.340,0.88,1,1.68,2.37,2.74,1.70,-0.31,-1.12,0.47,0.63,-0.12,0.61,0.39,1.07,0.56,0.35,0.80,0.75,0.13,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
69,0,1.360,0.88,1,1.61,2.31,2.77,1.39,-0.31,-0.80,0.26,0.76,-0.11,0.62,0.24,1.24,0.48,0.32,0.50,0.64,-0.08,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
70,0,1.380,0.88,1,1.47,2.11,2.74,1.11,-0.27,-1.07,0.11,0.60,0.01,0.69,0.47,1.10,0.65,0.23,0.58,0.51,0.00,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71,0,1.400,0.88,1,1.44,1.84,2.57,0.94,-0.30,-1.29,0.06,0.62,-0.07,0.54,0.20,0.99,0.33,0.26,0.78,0.40,-0.02,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
72,0,1.420,0.88,1,1.49,1.98,2.73,1.08,-0.16,-1.12,0.18,0.66,0.07,0.61,0.23,1.02,0.53,0.23,0.71,0.47,0.09,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
73,0,1.440,0.88,1,1.48,1.60,2.11,1.62,-0.36,-0.46,0.17,0.60,0.12,0.54,0.52,1.06,0.55,0.25,0.57,0.64,0.29,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
74,0,1.460,0.88,1,1.21,1.59,2.10,1.30,-0.50,-1.12,0.22,0.47,-0.08,0.45,0.44,0.95,0.56,0.19,0.57,0.70,0.10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
