frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
73,0,1.440,0.93,1,0.00,0.00,0.21,0.00,0.00,0.10,0.00,0.47,0.00,0.42,0.00,0.18,0.00,0.06,0.11,0.25,0.42,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
74,0,1.460,0.93,1,0.00,0.00,0.24,0.00,0.00,0.11,0.01,0.39,0.00,0.29,0.00,0.22,0.00,0.02,0.10,0.13,0.28,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
75,0,1.480,0.98,1,0.00,0.00,0.29,0.00,0.00,0.09,0.01,0.35,0.00,0.27,0.00,0.23,0.00,0.00,0.05,0.00,0.20,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
76,0,1.500,0.98,1,0.00,0.00,0.29,0.00,0.00,0.17,0.02,0.32,0.00,0.20,0.00,0.26,0.00,0.00,0.03,0.00,0.21,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
77,0,1.520,0.98,1,0.00,0.03,0.31,0.00,0.00,0.24,0.06,0.27,0.00,0.19,0.00,0.29,0.00,0.00,0.01,0.00,0.26,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
78,0,1.540,0.98,1,0.02,0.05,0.35,0.00,0.00,0.30,0.08,0.21,0.00,0.17,0.00,0.31,0.00,0.00,0.07,0.00,0.24,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
79,0,1.560,0.98,1,0.02,0.05,0.39,0.00,0.00,0.35,0.08,0.13,0.00,0.14,0.00,0.27,0.00,0.00,0.12,0.00,0.18,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
80,0,1.580,0.98,1,0.02,0.01,0.36,0.02,0.00,0.34,0.04,0.12,0.00,0.11,0.00,0.27,0.00,0.00,0.17,0.00,0.18,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
81,0,1.600,0.98,1,0.00,0.00,0.35,0.07,0.00,0.30,0.01,0.07,0.00,0.05,0.00,0.26,0.00,0.00,0.18,0.00,0.17,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
82,0,1.620,0.98,1,0.00,0.00,0.30,0.13,0.00,0.34,0.01,0.09,0.00,0.07,0.00,0.25,0.00,0.00,0.21,0.00,0.16,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
